Virus Name,Virus Protein,Human Protein,Bait_Prey,PreyGene,MIST,Reproducibility,Specificity,Abundance,SaintScore,BFDR,AvgSpec,Spec,CtrlCounts,FoldChange
SARS-CoV2,nsp9,P11387,nsp9-P11387,TOP1,0.30777378,0.93976095,0.026000079,0.00101007,0,0.68,7,12|4|5,11|12|16|13|12|10|10|7|10|5|8,0.68
SARS-CoV2,nsp9,P11388,nsp9-P11388,TOP2A,0.081764878,0.00000000,0.119275612,4.25E-05,0.32,0.23,0.67,2|0|0,0|0|0|1|0|0|0|0|0|0|0,6.67
SARS-CoV2,nsp9,P11498,nsp9-P11498,PC,0.322202347,0.99575956,0.021825395,0.003208863,0,0.69,32.33,34|30|33,88|80|55|48|44|63|67|42|86|64|68,0.5
SARS-CoV2,nsp9,P11586,nsp9-P11586,MTHFD1,0.336492425,0.96079237,0.058429578,0.000854803,0,0.62,6.67,5|7|8,8|3|8|9|2|2|2|2|7|7|5,1.33
SARS-CoV2,nsp9,P12236,nsp9-P12236,SLC25A6,0.207946135,0.62322727,0.022840416,0.000753626,0.06,0.48,2,3|3|0,2|2|2|2|2|1|1|2|1|1|2,1.22
SARS-CoV2,nsp9,P12270,nsp9-P12270,TPR,0.009841797,0.00000000,0.014356777,1.38E-05,0,0.69,0.33,1|0|0,1|1|0|0|2|1|1|1|1|1|1,0.37
SARS-CoV2,nsp9,P12956,nsp9-P12956,XRCC6,0.173170513,0.00000000,0.252608615,0.000802158,0.33,0.22,5,15|0|0,0|7|2|5|0|1|0|0|1|0|0,3.44
SARS-CoV2,nsp9,P13010,nsp9-P13010,XRCC5,0.100971393,0.00000000,0.147291122,0.000311439,0.31,0.31,2.33,7|0|0,0|6|0|3|0|0|0|0|0|0|0,2.85
SARS-CoV2,nsp9,P13639,nsp9-P13639,EEF2,0.322169947,0.98643038,0.025998339,0.000748463,0,0.69,5.67,8|5|4,13|14|8|10|8|3|7|9|8|3|6,0.7
SARS-CoV2,nsp9,P13797,nsp9-P13797,PLS3,0.005582018,0.00000000,0.008142282,6.75E-05,0,0.69,0.33,0|0|1,3|2|3|1|2|2|1|1|3|3|2,0.16
SARS-CoV2,nsp9,P13984,nsp9-P13984,GTF2F2,0.877426938,0.99337272,0.832814312,0.006563016,1,0,14,15|12|15,0|0|0|0|0|0|0|0|0|0|0,140
SARS-CoV2,nsp9,P14174,nsp9-P14174,MIF,0.202749151,0.62322727,0.015260115,0.000650959,0,0.69,0.67,1|1|0,3|3|1|2|2|3|4|1|2|1|2,0.31
SARS-CoV2,nsp9,P14618,nsp9-P14618,PKM,0.313974034,0.99338499,0.010916904,0.000221101,0,0.69,1,1|1|1,8|3|1|3|0|1|2|2|3|4|2,0.38
SARS-CoV2,nsp9,P14866,nsp9-P14866,HNRNPL,0.181642868,0.50800870,0.03632835,0.000586808,0,0.6,3.33,8|0|2,5|13|11|7|1|0|1|1|10|1|1,0.72
SARS-CoV2,nsp9,P15170,nsp9-P15170,GSPT1,0.23176899,0.00000000,0.338096601,6.53E-05,0,0.69,0.33,1|0|0,0|0|0|0|0|0|0|0|0|0|0,3.33
SARS-CoV2,nsp9,P15880,nsp9-P15880,RPS2,0.327682268,0.99034680,0.032261502,0.002514483,0,0.65,6.33,7|7|5,7|7|6|10|8|4|5|4|8|3|4,1.06
SARS-CoV2,nsp9,P16104,nsp9-P16104,H2AFX,0.052895529,0.00000000,0.077160321,0.000227746,0,0.69,0.33,1|0|0,1|1|0|0|0|0|0|0|0|0|0,1.83
SARS-CoV2,nsp9,P16152,nsp9-P16152,CBR1,0.293111926,0.92189518,0.012655803,0.000658988,0,0.69,1.67,3|1|1,7|8|6|6|8|3|5|5|8|5|6,0.27
SARS-CoV2,nsp9,P16403,nsp9-P16403,HIST1H1C,0.295594305,0.86677959,0.041072173,0.001914909,0,0.62,3.67,6|1|4,3|7|6|4|4|5|2|2|5|3|4,0.9
SARS-CoV2,nsp9,P17096,nsp9-P17096,HMGA1,0.321459969,0.96640212,0.033967724,0.001796867,0,0.69,1.67,2|2|1,3|3|1|4|1|2|2|1|5|1|1,0.76
SARS-CoV2,nsp9,P17480,nsp9-P17480,UBTF,0.085298009,0.00000000,0.124429258,8.53E-05,0.32,0.23,0.67,2|0|0,0|0|0|0|0|0|0|0|0|0|0,6.67
SARS-CoV2,nsp9,P17812,nsp9-P17812,CTPS1,0.300297801,0.93108646,0.019004328,0.000342202,0,0.69,1.67,1|2|2,3|4|5|5|5|2|1|1|4|5|1,0.51
SARS-CoV2,nsp9,P17844,nsp9-P17844,DDX5,0.299636573,0.93158135,0.017812558,0.000854275,0,0.69,4.67,7|5|2,10|10|14|9|12|11|8|10|10|6|7,0.48
SARS-CoV2,nsp9,P17980,nsp9-P17980,PSMC3,0.234789409,0.00000000,0.342501584,0.000192677,0.32,0.23,0.67,0|2|0,0|0|0|0|0|0|0|0|0|0|0,6.67
SARS-CoV2,nsp9,P17987,nsp9-P17987,TCP1,0.003375203,0.00000000,0.004922972,7.65E-05,0,0.69,0.33,0|0|1,0|0|1|2|2|0|0|0|1|2|1,0.41
SARS-CoV2,nsp9,P18124,nsp9-P18124,RPL7,0.190194785,0.55764265,0.026464872,0.000564498,0.04,0.5,1.33,3|1|0,1|2|3|3|0|0|1|0|5|1|1,0.86
SARS-CoV2,nsp9,P18621,nsp9-P18621,RPL17,0.32101756,0.97450989,0.029664073,0.002853416,0,0.65,4.67,7|3|4,6|6|5|6|5|4|2|5|7|7|8,0.84
SARS-CoV2,nsp9,P19338,nsp9-P19338,NCL,0.160140008,0.37427048,0.065148009,0.001128626,0.31,0.31,8,22|1|1,1|14|9|13|0|0|0|0|8|0|0,1.96
SARS-CoV2,nsp9,P20290,nsp9-P20290,BTF3,0.338917106,0.95118550,0.066288367,0.00109142,0.28,0.33,2,3|2|1,0|1|1|4|3|0|0|0|0|1|0,2.2
SARS-CoV2,nsp9,P20700,nsp9-P20700,LMNB1,0.266969274,0.77003143,0.042866874,0.000973914,0.24,0.35,5.33,11|1|4,3|9|6|4|1|1|0|0|9|0|0,1.78
SARS-CoV2,nsp9,P21741,nsp9-P21741,MDK,0.331811495,0.96446974,0.04993667,0.001939535,0.01,0.57,2.33,2|2|3,4|0|4|3|3|2|2|1|4|0|0,1.12
SARS-CoV2,nsp9,P21912,nsp9-P21912,SDHB,0.014472357,0.00000000,0.02111049,0.000151944,0,0.69,0.33,0|0|1,0|0|1|0|0|0|0|0|0|0|0,3.33
SARS-CoV2,nsp9,P22061,nsp9-P22061,PCMT1,0.331860576,0.99683488,0.03539749,0.007009441,0,0.69,13.67,15|14|12,16|14|18|20|22|14|13|17|20|7|16,0.85
SARS-CoV2,nsp9,P22087,nsp9-P22087,FBL,0.345666096,0.97928466,0.063481885,0.001666683,0.42,0.15,4.67,6|3|5,1|3|4|5|1|1|0|1|2|1|0,2.7
SARS-CoV2,nsp9,P22102,nsp9-P22102,GART,0.340319081,0.98653589,0.052428494,0.000487336,0.04,0.5,4.33,6|4|3,4|2|7|4|1|3|2|3|4|0|0,1.59
SARS-CoV2,nsp9,P22626,nsp9-P22626,HNRNPA2B1,0.215140695,0.58066075,0.052476566,0.002721728,0,0.64,9.33,23|4|1,9|28|26|26|0|2|4|1|21|2|1,0.86
SARS-CoV2,nsp9,P23193,nsp9-P23193,TCEA1,0.314582435,0.92189518,0.04397675,0.000606445,0.15,0.41,1.67,3|1|1,1|1|0|3|1|2|0|0|0|3|0,1.67
SARS-CoV2,nsp9,P23246,nsp9-P23246,SFPQ,0.327039254,0.92333476,0.061497129,0.000987049,0.12,0.43,6.33,11|3|5,1|10|6|8|2|2|2|2|5|4|1,1.62
SARS-CoV2,nsp9,P23284,nsp9-P23284,PPIB,0.33142504,0.99021673,0.037705508,0.011068925,0,0.69,20.33,20|19|22,21|25|24|22|20|21|18|18|23|20|21,0.96
SARS-CoV2,nsp9,P23396,nsp9-P23396,RPS3,0.319027944,0.98219473,0.0232911,0.004215331,0,0.69,8.67,8|8|10,21|10|15|15|8|5|6|12|12|12|8,0.77
SARS-CoV2,nsp9,P23528,nsp9-P23528,CFL1,0.193483801,0.58540748,0.018758486,0.001493535,0,0.69,2.33,5|0|2,6|7|6|6|5|6|2|3|8|2|4,0.47
